osmid,x,y
906713729,77.3063275,28.6011131
906713731,77.3073151,28.6016406
906713732,77.3065353,28.59979
906713734,77.3046323,28.5987244
906713736,77.3048757,28.5999614
906713737,77.3060942,28.6036506
906713762,77.3075419,28.6010531
906713763,77.3039855,28.5991004
906713764,77.3064963,28.5994764
906713774,77.3038501,28.6025994
906713776,77.3047059,28.6099279
906713812,77.3039119,28.6024335
906713813,77.3059882,28.600849
906713817,77.307178,28.6008495
906732061,77.3075983,28.6044765
906732063,77.3027313,28.6043184
906732067,77.3081363,28.6111624
906732071,77.3074746,28.6048105
906732106,77.3080742,28.6113099
906732107,77.3088637,28.6072879
906732219,77.3037443,28.606668
906732222,77.3089698,28.6039414
906732224,77.3078795,28.6117984
906732262,77.3045439,28.6046048
906732414,77.3053224,28.6056368
906732421,77.3054304,28.6113087
906732520,77.304963,28.6092548
906732522,77.3042262,28.6064489
906732525,77.305143,28.6108217
906732527,77.304452,28.6069649
906732528,77.3046958,28.6052653
906732536,77.3049353,28.6066577
906732537,77.3052107,28.6085968
906732611,77.3084025,28.6035862
906732613,77.3069665,28.6070705
906732615,77.3026103,28.6046405
906732617,77.3046354,28.6101078
906732694,77.3061709,28.6111165
906732697,77.3063659,28.6055747
906732699,77.3015223,28.6054423
906732706,77.3072721,28.6114441
906732710,77.3077066,28.6071118
906732784,77.3037863,28.6046345
906732785,77.3072098,28.6116028
906732790,77.3090636,28.6067561
906732800,77.3090003,28.6069227
906732892,77.3048344,28.6095812
906732895,77.3093394,28.607956
906732897,77.3045633,28.6055994
906732898,77.3080427,28.6062644
906732902,77.3070199,28.6059529
906732920,77.3070712,28.6037673
906733027,77.3074258,28.6058917
906733029,77.3050211,28.6090928
906733031,77.3033236,28.6058078
906733036,77.3039435,28.6061596
906733041,77.3063027,28.6057401
906733106,77.3076789,28.6104284
906733109,77.3089377,28.6059227
906733111,77.3019858,28.6042492
906733116,77.3080977,28.6092613
906733117,77.3016473,28.6051344
906733188,77.3066746,28.6126371
906733191,77.3092229,28.6032841
906733194,77.3077058,28.609126
906733196,77.3089201,28.6071179
906733277,77.3075311,28.6075968
906733287,77.3079069,28.6066032
906733289,77.3084677,28.6034235
906733290,77.3075943,28.607431
906733292,77.307025,28.6089277
906733362,77.3035964,28.6051112
906733366,77.3096615,28.607123
906733368,77.3020315,28.6061626
906733369,77.3069448,28.6040963
906733374,77.3031983,28.6061386
906733375,77.3062403,28.6059034
906733450,77.3082055,28.6077982
906733451,77.3053999,28.6081043
906733452,77.3019162,28.6044327
906733453,77.3071213,28.6106483
906733459,77.3064162,28.6054433
906733460,77.3085282,28.6032723
906733536,77.3086604,28.6066347
906733545,77.3054484,28.6053124
906733546,77.3073355,28.6112825
906733550,77.3079861,28.6095828
906733553,77.3052626,28.6058012
906733554,77.3091274,28.6065854
906733558,77.3056363,28.6107829
906733630,77.3090969,28.6036113
906733636,77.3081593,28.605945
906733639,77.3060075,28.60957
906733641,77.3043792,28.6107684
906733711,77.3093707,28.6048136
906733717,77.3076523,28.6072662
906733718,77.3070852,28.6057844
906733720,77.3086545,28.6097809
906733721,77.3035319,28.6052897
906733726,77.3065752,28.6100967
906733797,77.3071378,28.608619
906733798,77.3033884,28.605644
906733800,77.3061722,28.6060794
906733809,77.304577,28.6102629
906733811,77.3087384,28.6076146
906733887,77.3071322,28.6118005
906733894,77.3081571,28.6029641
906733975,77.3088921,28.6082026
906733977,77.3042804,28.6053194
906733980,77.3080906,28.6031386
906733983,77.3091912,28.6064148
906733991,77.3057013,28.6106183
906733993,77.3025763,28.6057517
906734064,77.3022237,28.6056456
906734066,77.3026349,28.6055952
906734068,77.3048765,28.6068098
906734070,77.3072484,28.6103002
906734071,77.3042724,28.6074621
906734072,77.3082783,28.6107938
906734076,77.3095196,28.607472
906734077,77.3077972,28.6101027
906734082,77.3066992,28.6097759
906734086,77.3070269,28.6069156
906734089,77.304444,28.6106012
906734090,77.3082649,28.607637
906734093,77.3058568,28.6079403
906734094,77.3098346,28.6047752
906734103,77.3080316,28.6032934
906734104,77.3015884,28.605291
906734105,77.3083779,28.6073211
906734107,77.3036588,28.6049521
906734109,77.306623,28.6069629
906734114,77.3085316,28.6101362
906734115,77.3026914,28.6054455
906734119,77.3021033,28.6059777
906734121,77.3083446,28.6106247
906734122,77.3013989,28.6057699
906734135,77.3047672,28.6097417
906734136,77.3044274,28.6059438
906734137,77.302762,28.6052562
906734139,77.3077392,28.6102624
906734141,77.3092701,28.6081272
906734142,77.3043583,28.606116
906734145,77.3026726,28.6044757
906734146,77.3065105,28.6102641
906734148,77.3052732,28.6104831
906734150,77.3070124,28.6039203
906734158,77.3063331,28.6087192
906734159,77.3088441,28.6061538
906734160,77.3065574,28.607125
906734165,77.3064937,28.6072825
906734169,77.3084117,28.6104619
906734171,77.3090359,28.6037697
906734174,77.3058827,28.6098961
906734175,77.3073104,28.6101356
906734176,77.30463,28.6054312
906734177,77.3099201,28.6064709
906734179,77.3055313,28.609785
906734180,77.3072225,28.605436
906734181,77.3042885,28.606287
906734182,77.302954,28.6047438
906734183,77.3083367,28.6037507
906734190,77.3054647,28.6099558
906734193,77.3076607,28.6043082
906734194,77.3022822,28.605488
906734196,77.3040035,28.6060065
906734198,77.3097336,28.6069588
906734201,77.3069903,28.6109938
906734203,77.3052888,28.6083924
906734204,77.3069286,28.6111531
906734205,77.3099012,28.6046127
906734206,77.3082229,28.6027751
906734207,77.3078568,28.6099387
906734209,77.3037215,28.6047919
906734212,77.3084657,28.6103019
906734213,77.302514,28.6059286
906734214,77.3073333,28.603085
